,date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,latitude,longitude,region_id,province_id,province_name
284057,26-03-2010,20.0,28.0,23.3,86.0,,2.0,2.0,270.0,2.0,SW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284058,27-03-2010,20.0,30.2,23.3,80.0,0.4,6.1,4.0,315.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284059,28-03-2010,20.0,27.8,22.7,88.0,26.2,1.0,3.0,315.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284060,29-03-2010,20.0,29.4,22.9,84.0,9.5,4.8,2.0,315.0,1.0,SW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284061,30-03-2010,20.0,25.0,21.8,91.0,62.5,,2.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284062,31-03-2010,19.0,28.4,22.9,88.0,10.1,1.4,2.0,45.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284063,01-04-2010,20.0,30.4,24.3,83.0,2.0,1.2,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284064,02-04-2010,21.0,29.3,24.1,79.0,0.0,3.3,3.0,225.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284065,03-04-2010,21.0,29.2,24.3,79.0,1.5,1.2,2.0,225.0,1.0,S ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284066,04-04-2010,21.0,30.7,24.4,78.0,,8.0,4.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284067,05-04-2010,20.0,29.2,23.0,85.0,20.0,4.1,2.0,225.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284068,06-04-2010,19.0,30.4,24.1,82.0,27.0,8.0,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284069,07-04-2010,19.0,30.0,24.1,83.0,2.0,5.4,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284070,08-04-2010,22.0,30.4,24.6,83.0,1.3,5.9,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284071,09-04-2010,20.0,30.2,24.4,79.0,3.0,7.7,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284072,10-04-2010,20.0,29.2,24.8,70.0,0.0,3.8,4.0,270.0,2.0,SW,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
284073,11-04-2010,22.0,30.2,24.0,81.0,0.0,4.6,3.0,270.0,2.0,W ,96783,Stasiun Geofisika Bandung,Kota Bandung,-6.88356,107.59733,177,12,Jawa Barat
